@relation Output

@attribute nHBAcc numeric
@attribute nHBDon numeric
@attribute naAromAtom numeric
@attribute nAtomP numeric
@attribute nB numeric
@attribute nAromBond numeric
@attribute nRotB numeric
@attribute ALogP numeric
@attribute ALogp2 numeric
@attribute AMR numeric
@attribute XLogP numeric
@attribute MLogP numeric
@attribute apol numeric
@attribute TopoPSA numeric
@attribute MW numeric
@attribute bpol numeric
@attribute ATSc1 numeric
@attribute ATSc2 numeric
@attribute ATSc3 numeric
@attribute ATSc4 numeric
@attribute ATSc5 numeric
@attribute ATSm1 numeric
@attribute ATSm2 numeric
@attribute ATSm3 numeric
@attribute ATSm4 numeric
@attribute ATSm5 numeric
@attribute nAcid numeric
@attribute nBase numeric
@attribute MOMI-X numeric
@attribute MOMI-Y numeric
@attribute MOMI-Z numeric
@attribute MOMI-XY numeric
@attribute MOMI-XZ numeric
@attribute MOMI-YZ numeric
@attribute MOMI-R numeric
@attribute AllSurfaceArea numeric
@attribute Association {Yes}

@data
9,3,0,10,27,0,4,-1.8914,3.577394,80.8988,-1.386,2.12,46.812274,146.89,334.12772,27.703726,0.90487,-0.484652,0.079936,0.025597,-0.12362,29.312266,30.487917,47.255135,57.16529,56.579779,0,1,4148.09915,2762.858803,1385.240347,1.501379,2.994498,1.994498,6.875207,588.762149,Yes
2,2,6,10,11,6,2,1.0414,1.084514,39.8841,0.87,2.01,22.785137,49.33,151.063329,11.456863,0.216284,-0.09614,0.00567,-0.008712,-0.021083,12.908918,11.996548,16.048283,12.32864,9.162458,0,0,1028.703997,887.433261,141.270736,1.15919,7.281791,6.281791,4.584445,442.970316,Yes
5,1,16,19,34,17,8,4.2576,18.127158,115.084,3.18,2.89,64.266032,68.74,446.152097,38.887968,0.864691,-0.470429,-0.090251,0.105186,0.043343,43.978322,40.021745,55.607353,61.718752,50.764768,0,1,16009.48789,14311.47396,1698.013933,1.118647,9.428361,8.428361,10.140179,772.331887,Yes
9,3,15,9,50,16,5,0.8692,0.755509,154.4715,2.293,3.99,92.261341,118.21,583.27947,52.498659,0.945249,-0.567248,0.132847,0.122831,-0.363988,48.672247,54.152917,88.244975,99.348295,102.146958,0,1,22074.57962,19691.92652,2382.653107,1.120996,9.264706,8.264706,10.440512,945.861275,Yes
1,0,12,14,23,12,3,3.3752,11.391975,91.0169,4.926,3.55,51.636239,3.24,277.18305,27.123761,0.100415,-0.066941,0.006829,0.014623,-0.006832,21.35998,23.498546,31.166182,35.166182,32.166182,0,1,3339.021321,2273.440756,1065.580565,1.468708,3.133523,2.133523,6.746079,600.321868,Yes
3,1,15,18,27,16,5,4.7768,22.817818,95.0305,3.418,2.89,50.596688,68.53,357.076786,23.723312,0.550709,-0.288409,0.029008,0.010571,-0.013803,36.170806,31.110776,46.722841,49.391187,47.601602,1,0,6619.645793,5337.035219,1282.610573,1.240323,5.161072,4.161072,7.920952,642.332947,Yes
2,0,12,6,24,12,7,3.082,9.498724,98.062,4.592,3.55,56.865411,20.31,309.209265,32.454589,0.220397,-0.08233,-0.028961,-0.012516,-0.028579,24.134449,24.830638,33.996548,40.49455,45.159006,0,1,3022.482665,1612.267196,1410.215468,1.874679,2.143277,1.143277,6.215957,517.588426,Yes
4,1,11,15,25,11,1,3.0842,9.51229,92.3144,2.753,2.78,50.55586,59.11,312.140868,30.08414,0.296622,-0.191571,-0.011278,0.046347,-0.006989,29.567674,30.00139,45.310792,44.386078,43.754463,0,3,3984.061244,2561.079107,1422.982138,1.555618,2.799797,1.799797,7.008138,585.793703,Yes
4,3,6,7,19,6,8,0.2272,0.05162,72.1614,0.461,2.45,43.915446,84.58,266.163043,26.924554,0.461333,-0.16606,-0.175533,0.094525,0.103862,22.043368,20.826914,27.210741,23.988662,21.546285,0,1,5828.656977,5541.108966,287.548011,1.051894,20.270204,19.270204,7.044637,648.297121,Yes
3,1,15,12,26,16,5,2.9952,8.971223,96.0307,0.604,2.56,51.195067,96.31,345.114713,32.280933,0.595842,-0.277692,-0.051991,-0.075038,0.115676,33.531101,34.221429,46.412501,51.050015,45.50068,0,0,7639.111789,7136.8388,502.272989,1.070378,15.209083,14.209083,7.408318,684.343371,Yes
3,2,18,6,38,18,9,3.757,14.115049,137.7711,7.105,4.65,86.362513,43.7,471.31373,46.801487,0.247934,-0.108201,-0.005942,0.01076,-0.129141,36.908918,39.16273,56.159006,61.321192,58.321192,0,1,19728.92432,18650.14742,1078.776892,1.057843,18.288234,17.288234,9.898842,834.135703,Yes
5,0,12,9,31,12,7,3.3485,11.212452,114.1883,2.839,3.11,64.364618,84.38,414.161329,40.411382,0.748044,-0.418802,-0.060203,0.306279,-0.341034,38.94559,37.329214,54.162625,67.529881,68.385795,0,1,7356.123686,5632.823791,1723.299895,1.305939,4.268627,3.268627,7.933981,698.948561,Yes
1,1,12,14,22,12,4,3.0348,9.210011,85.443,4.721,3.44,48.542653,12.03,263.1674,23.617347,0.069522,-0.041461,0.006446,0.0032,-0.012076,20.35998,22.332364,29.166182,34.166182,31.166182,0,1,3034.826586,1969.280895,1065.545691,1.541084,2.848143,1.848143,6.652825,593.624319,Yes
5,3,6,10,14,6,4,-0.0121,0.000146,49.943,-2.174,1.9,27.11393,92.42,194.069142,12.84807,0.406705,-0.192138,-0.018588,0.100952,-0.170396,17.043368,15.494822,20.988934,18.767927,14.159006,1,0,2227.285322,1957.851565,269.433758,1.137617,8.266541,7.266541,5.845338,507.174668,Yes
4,0,12,18,23,12,1,3.1208,9.739393,80.0733,2.283,2.67,42.812309,40.62,300.066555,20.507691,0.40422,-0.187412,0.040311,-0.185012,0.193493,30.981849,26.613046,40.004104,46.585529,47.098926,0,0,3368.851984,1873.116062,1495.735923,1.798528,2.252304,1.252304,6.65265,523.143212,Yes
4,0,0,6,31,0,3,1.5638,2.44547,108.3588,4.049,3.66,66.785376,60.44,384.23006,39.772624,0.520545,-0.203182,-0.083281,0.095992,-0.098787,31.097876,32.66046,54.763297,66.095389,64.985104,0,0,6160.091624,5155.479322,1004.612302,1.194863,6.13181,5.13181,7.202225,562.751496,Yes
3,2,10,10,28,11,4,2.3397,5.474196,77.2012,3.871,2.34,46.932688,45.15,378.116683,26.689312,0.776521,-0.420149,-0.079162,0.127955,0.187707,36.506694,32.48753,57.330433,55.316843,56.840557,0,1,5563.52993,3888.467757,1675.062172,1.430777,3.321387,2.321387,7.415953,591.166032,Yes
10,2,15,9,65,16,10,3.4369,11.812282,216.4564,4.822,5.09,126.022822,133.87,778.394165,76.171178,1.417417,-0.746291,0.023398,-0.245047,0.627612,64.635673,70.813105,113.133332,150.170987,183.598618,0,2,18759.609,14280.39568,4479.213322,1.313662,4.188148,3.188148,9.262205,837.049105,Yes
4,1,12,16,26,12,1,3.7692,14.206869,93.5348,3.864,2.89,50.929067,30.87,326.129824,27.130933,0.313045,-0.186605,-0.021891,0.038583,-0.029953,32.152871,29.61359,43.257705,47.950049,42.914418,0,3,4945.474067,3489.727866,1455.746202,1.417152,3.397209,2.397209,7.512287,602.914893,Yes
4,2,10,15,29,11,3,1.7105,2.92581,89.1405,4.526,2.78,54.372446,74.57,359.16452,31.789554,0.613541,-0.24565,-0.082177,-0.145375,0.243597,30.905392,31.907517,46.26059,55.769994,57.387813,1,1,5778.297738,4386.62457,1391.673168,1.317254,4.152051,3.152051,7.575032,634.047757,Yes
