nHBAcc,nHBDon,naAromAtom,nAtomP,nB,nAromBond,nRotB,ALogP,ALogp2,AMR,XLogP,MLogP,apol,TopoPSA,MW,bpol,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,nAcid,nBase,MOMI-X,MOMI-Y,MOMI-Z,MOMI-XY,MOMI-XZ,MOMI-YZ,MOMI-R,AllSurfaceArea,BE0001061,BE0001188,BE0003640,BE0003648,BE0003647,BE0001004,BE0003659,BE0001042,BE0003644,BE0003667,BE0003668,BE0001069,BE0003657,BE0001067,BE0000703,BE0001032
6,4,0,2,13,0,7,-1.0892,1.18635664,54.5398,-3.312,1.24,29.769516,177.24,240.023849,15.994484,0.519192751,-0.15631416,-0.165107316,-0.03421876,0.071623297,30.07334282,24.12805522,26.22117453,29.44826566,27.79207876,2,2,3151.709829,2917.949203,233.7606268,1.080111274,13.48263766,12.48263766,5.812887529,542.3097906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,3,7,0,3,-0.41,0.1681,23.537,-0.71,1.46,14.248758,74.6,118.0266087,8.475242,0.389196816,-0.169798807,0.054139488,-1.52E-04,-0.248737896,11.09787614,8.328367909,10.87730598,6.328367909,5.328367909,2,0,683.8266644,577.7983971,106.0282673,1.183503914,6.449475049,5.449475049,4.30018631,353.3228912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,14,16,29,15,5,0.6704,0.44943616,87.5907,0.576,2.23,52.46786,161.56,376.1382845,29.06014,0.923929467,-0.374970355,-0.123803525,-0.100790868,0.172676083,33.08673542,32.48818926,49.69890054,58.32710026,54.0498789,0,0,6216.957497,4158.572176,2058.385321,1.494974052,3.020307924,2.020307924,7.927220377,632.4654494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,2,9,0,4,-1.6398,2.68894404,29.4443,-3.349,1.46,19.109137,100.62,147.0531578,11.094863,0.432841616,-0.176677831,-0.038381614,0.091133139,-0.05690565,13.45785644,10.49454984,14.20966985,11.60147304,7.494549842,2,1,1095.158808,927.3773278,167.78148,1.180920403,6.527292569,5.527292569,4.867384487,374.1409739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,0,3,19,0,11,-2.7457,7.53886849,65.6159,-4.23,1.46,39.947481,197.62,307.0838064,25.356519,0.83114925,-0.338743478,-0.111230142,0.252758555,-0.353290214,31.85450816,23.49324673,31.48147186,33.40162642,31.99319545,2,1,6789.332439,6300.080417,489.2520225,1.07765806,13.87696346,12.87696346,7.509466319,619.9578609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,2,4,0,1,-1.1915,1.41967225,16.0034,-3.35,1.35,9.557965,63.32,75.03202844,5.764035,0.250195099,-0.089219331,-0.084944755,0.049066537,0,6.908918372,4.830365887,5.604834923,3.106923194,0,1,1,179.470058,127.948187,51.52187104,1.402677617,3.483376174,2.483376174,2.976227892,307.4888133,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,3,0,4,8,0,3,-0.8088,0.65415744,28.6777,-2.404,1.35,17.945137,90.41,131.0694766,12.116863,0.341969379,-0.217016511,0.021371218,0.134790895,-0.185817967,11.62887897,9.49509362,12.68477583,9.771650927,7.660731775,1,3,690.6932845,549.5857353,141.1075492,1.256752569,4.894800374,3.894800374,4.251226769,355.3122147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,2,8,0,3,-0.3183,0.10131489,33.4838,-1.389,1.79,21.932309,63.32,131.0946288,14.509691,0.239674505,-0.089264218,-0.067962626,0.03825679,-8.12E-04,10.90891837,8.830365887,11.77101686,9.937289082,6.996547821,1,1,656.021078,514.0222321,141.9988459,1.276250397,4.619904295,3.619904295,4.172133547,370.3051466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,9,9,16,10,3,0.8833,0.78021889,56.3132,-1.271,2.23,31.165516,79.11,204.0898777,14.076484,0.279102314,-0.102629776,-0.06030577,0.032773478,-0.00297659,17.26889867,17.16272975,24.26956266,22.43583488,16.32891169,1,1,2059.307612,1735.704152,323.6034599,1.186439296,6.363676126,5.363676126,5.685179478,510.2940244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,2,6,0,2,-0.6242,0.38962564,28.168,-2.575,1.35,15.551551,102.12,121.0197495,10.230449,0.259596376,-0.081375017,-0.074653046,-0.006539864,0.032769739,15.03667141,8.500151092,10.44080206,11.55434762,7.112798903,1,1,503.9366952,397.4048925,106.5318028,1.268068674,4.730387379,3.730387379,3.794954022,319.6647429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
